user_id,work_location_id,first_name,last_name,work_start_date,languages_id,locale,education_classes_id,location_id,education_year_id,work_with_id,education_type,education_with_id,birthday,education_degree_id,work_employer_id,work_position_id,gender,hometown_id,education_concentration_id,education_school_id,work_end_date
95.0,,,,,,127.0,,136.0,,,55.0,,,,,,78.0,,,38.0,
96.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
97.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
98.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
99.0,,,,,,127.0,,,,,,,7.0,,,,77.0,,,,
100.0,179.0,,,168.0,94.0,127.0,,128.0,66.0,,55.0,,,,156.0,181.0,78.0,,13.0,52.0,170.0
101.0,,,124.0,,,127.0,,137.0,64.0,,54.0,,,,,,78.0,,,50.0,
102.0,,,,,,127.0,,136.0,,,55.0,,,,,,78.0,,,45.0,
103.0,177.0,,,168.0,103.0,127.0,,,65.0,,55.0,,,,150.0,189.0,78.0,,,50.0,170.0
104.0,,,,,92.0,127.0,,132.0,65.0,,55.0,,,,155.0,,77.0,87.0,,50.0,
105.0,132.0,,,164.0,,127.0,,,72.0,,55.0,,,,146.0,185.0,78.0,,14.0,50.0,168.0
106.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
107.0,,,,,,127.0,,,70.0,,54.0,,,22.0,,,78.0,,,52.0,
108.0,,,,,,127.0,,,72.0,,55.0,,,,,,78.0,,,,
109.0,137.0,,112.0,168.0,101.0,127.0,,137.0,65.0,,55.0,,7.0,,50.0,,78.0,,,50.0,163.0
110.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
111.0,,,,,,127.0,,,67.0,,55.0,,0.0,,,,77.0,81.0,,39.0,
112.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
113.0,137.0,,,168.0,92.0,127.0,,137.0,65.0,,55.0,,,,,184.0,78.0,,14.0,50.0,170.0
114.0,132.0,,,,101.0,127.0,,137.0,65.0,,55.0,,,,,,77.0,,,50.0,163.0
115.0,,,,157.0,,127.0,,,61.0,,55.0,,,,145.0,,78.0,81.0,,39.0,
116.0,,,105.0,,,127.0,,129.0,,,55.0,,,,,,77.0,81.0,,42.0,
117.0,,,,,,127.0,,,,,53.0,,,,,,77.0,,,50.0,
118.0,176.0,,109.0,202.0,100.0,127.0,,137.0,66.0,,55.0,,7.0,,,,78.0,,,50.0,170.0
119.0,132.0,,,202.0,,127.0,,128.0,72.0,,55.0,,,21.0,52.0,193.0,78.0,,14.0,52.0,171.0
120.0,137.0,,,202.0,101.0,127.0,,,66.0,,55.0,,4.0,,,,78.0,85.0,14.0,50.0,168.0
121.0,138.0,,,,,127.0,,,,,55.0,,7.0,,148.0,,78.0,87.0,,50.0,
122.0,,,,,,127.0,,,59.0,,53.0,,,,144.0,,77.0,,,50.0,
123.0,,,,,92.0,127.0,,137.0,65.0,,55.0,,7.0,,,,78.0,,14.0,50.0,
124.0,174.0,,,168.0,,127.0,,,59.0,,55.0,,,,,185.0,78.0,,,,
125.0,,,,,,,,,,,,,7.0,,,,78.0,,,,
126.0,,,,,,127.0,,132.0,63.0,,55.0,,,,,,77.0,,,50.0,
127.0,,,,157.0,,127.0,,,61.0,,55.0,,,22.0,,185.0,78.0,,,,157.0
128.0,,,,,,127.0,,137.0,59.0,,55.0,,7.0,,155.0,193.0,77.0,,,50.0,
129.0,,,,,,127.0,,,72.0,,55.0,,,,,,77.0,,13.0,50.0,
130.0,,,,,,127.0,,132.0,,,,,,,,,78.0,,,,
131.0,,73.0,,,,127.0,,,,,,,,,,,77.0,,,,
132.0,137.0,,,201.0,98.0,127.0,,137.0,,,55.0,,,,50.0,,78.0,,,50.0,168.0
133.0,,,,,,127.0,,137.0,65.0,,55.0,,7.0,,,,77.0,,,50.0,
134.0,,,,,,127.0,,132.0,63.0,,53.0,,7.0,,144.0,,78.0,,16.0,50.0,
135.0,,,,,,127.0,,131.0,62.0,,55.0,,4.0,,,,77.0,,,51.0,
136.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
137.0,,,,,,127.0,,138.0,,,55.0,,,,,,78.0,81.0,,,164.0
138.0,,,,,,127.0,,,71.0,,54.0,,2.0,,,,78.0,,,,
139.0,137.0,,,164.0,92.0,127.0,,,62.0,,55.0,,4.0,,50.0,,78.0,,,,165.0
140.0,,,,,,127.0,,,67.0,,55.0,,1.0,,,,77.0,,,28.0,
141.0,138.0,,,204.0,92.0,127.0,,134.0,65.0,,55.0,,6.0,,,184.0,78.0,,14.0,50.0,157.0
142.0,,,,203.0,,127.0,,132.0,59.0,,53.0,,,,50.0,,77.0,,,50.0,
143.0,173.0,,,,,127.0,,,71.0,,55.0,,,,,,78.0,88.0,,45.0,
144.0,129.0,,,,,127.0,,133.0,,,55.0,,2.0,,,,77.0,,,40.0,
145.0,,,,157.0,,127.0,,,,,55.0,,,,,,78.0,,,,157.0
146.0,,,,,98.0,127.0,,132.0,63.0,,54.0,,,,,,78.0,,14.0,50.0,
147.0,,,111.0,157.0,,127.0,,136.0,65.0,,55.0,,3.0,,,,77.0,,,35.0,157.0
148.0,,,,170.0,,126.0,,,65.0,,55.0,,,,,,,,,33.0,169.0
149.0,,,114.0,,,127.0,,,57.0,,55.0,,,,,,77.0,,,,
150.0,,,,171.0,,127.0,,128.0,69.0,,55.0,,6.0,,,193.0,77.0,,,52.0,166.0
151.0,,,108.0,,,127.0,,,,,,,,,,,78.0,,,,
152.0,132.0,,,164.0,101.0,127.0,,132.0,71.0,,55.0,,,,50.0,182.0,78.0,86.0,,50.0,157.0
153.0,,,,,,127.0,,,,,55.0,,,,,,78.0,,,50.0,
154.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
155.0,,,,,,127.0,,,63.0,,55.0,,,,,,77.0,,,50.0,
156.0,129.0,76.0,,201.0,,127.0,10.0,137.0,63.0,,55.0,,,,152.0,184.0,78.0,,14.0,50.0,168.0
157.0,137.0,,,157.0,,127.0,,132.0,72.0,,55.0,,6.0,21.0,,,78.0,,13.0,50.0,
158.0,178.0,,112.0,202.0,,127.0,,132.0,72.0,,53.0,,,,,192.0,78.0,,14.0,50.0,170.0
159.0,,,,171.0,92.0,127.0,,,72.0,,55.0,,3.0,,,,78.0,,14.0,50.0,
160.0,,,,157.0,,127.0,,,67.0,,55.0,,1.0,22.0,,,78.0,,13.0,50.0,157.0
161.0,137.0,,,199.0,,127.0,,137.0,,,55.0,,,,,,78.0,82.0,16.0,50.0,165.0
162.0,,,120.0,,,127.0,,,,,55.0,,,,,,77.0,,,,
163.0,,,,157.0,,127.0,,128.0,63.0,,54.0,,,,140.0,,78.0,,,52.0,157.0
164.0,,,,,,127.0,,134.0,,,,,,,,,78.0,,,,
165.0,138.0,,,157.0,,127.0,11.0,138.0,,,53.0,,,,148.0,184.0,78.0,,,50.0,
166.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
167.0,,,,157.0,,127.0,,,71.0,,55.0,,0.0,,,,77.0,81.0,,39.0,157.0
168.0,,76.0,116.0,,,127.0,,132.0,,,53.0,,,,,,78.0,,13.0,50.0,
169.0,,,,157.0,,127.0,,,67.0,,55.0,,,,,192.0,78.0,,14.0,50.0,157.0
170.0,132.0,,,204.0,97.0,127.0,12.0,132.0,65.0,,55.0,,7.0,,50.0,189.0,78.0,,14.0,50.0,170.0
171.0,,,,164.0,,127.0,,,69.0,,55.0,,,,,,78.0,,14.0,52.0,168.0
172.0,137.0,,,199.0,103.0,126.0,,132.0,69.0,,55.0,,5.0,,155.0,186.0,78.0,,,50.0,166.0
173.0,178.0,,,,,,,129.0,66.0,,55.0,,,,140.0,193.0,78.0,,14.0,52.0,164.0
174.0,,,,,,127.0,,,,,,,6.0,,,,78.0,,,,
175.0,,,104.0,,,127.0,,88.0,,,55.0,,4.0,,,,78.0,88.0,,45.0,
176.0,137.0,,,168.0,92.0,127.0,,134.0,65.0,,55.0,,7.0,,,,78.0,,,50.0,170.0
177.0,,,,,,127.0,,134.0,,,55.0,,,,,,77.0,80.0,,45.0,157.0
178.0,,,,157.0,,127.0,,,66.0,,55.0,,5.0,,153.0,184.0,77.0,,,50.0,157.0
179.0,,,,157.0,,127.0,,,,,55.0,,,,,,77.0,,,,157.0
180.0,,,,168.0,,127.0,,132.0,,,55.0,,,,,,78.0,,,50.0,170.0
181.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
182.0,129.0,,,160.0,94.0,127.0,,138.0,71.0,,54.0,,,22.0,52.0,,77.0,,,,
183.0,,,,202.0,92.0,127.0,,128.0,65.0,,55.0,,7.0,,52.0,,77.0,,,52.0,171.0
184.0,,,,,,126.0,,,,,,,,,,,78.0,,,,
185.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
186.0,,74.0,,,,127.0,,,,,,,,,,,77.0,,,,
187.0,,,,,,127.0,,,,,54.0,,,,,,78.0,,,50.0,
188.0,132.0,,,196.0,92.0,127.0,,,65.0,,55.0,,6.0,,,,78.0,,14.0,50.0,158.0
189.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
190.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
191.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
192.0,,,,198.0,,127.0,,130.0,,,55.0,,1.0,,,,78.0,,,40.0,
193.0,176.0,,,168.0,92.0,127.0,,129.0,,,55.0,,,,151.0,,78.0,84.0,,,
194.0,,,,164.0,,127.0,,132.0,72.0,,55.0,,,,,,77.0,,14.0,50.0,166.0
195.0,,,,,,127.0,,,,,,,,,,,,,,,
196.0,179.0,,,168.0,,127.0,,132.0,66.0,,54.0,,4.0,20.0,156.0,192.0,78.0,,14.0,50.0,170.0
197.0,137.0,,,164.0,,127.0,,,66.0,,55.0,,,,50.0,,78.0,,,,165.0
198.0,129.0,,,200.0,100.0,127.0,,128.0,59.0,,55.0,,,,52.0,,77.0,,,52.0,157.0
199.0,,,,170.0,,127.0,,137.0,65.0,,55.0,,7.0,,50.0,,78.0,83.0,,50.0,171.0
200.0,137.0,,,168.0,102.0,126.0,,132.0,65.0,,55.0,,7.0,,155.0,,78.0,,,48.0,
201.0,138.0,,,,,127.0,,138.0,65.0,,55.0,,,,,,,,,,
202.0,,,,,,127.0,,138.0,66.0,,55.0,,,22.0,,,78.0,,,52.0,
203.0,,,,202.0,100.0,127.0,,132.0,72.0,,55.0,,7.0,,50.0,,77.0,,18.0,50.0,170.0
204.0,176.0,,,168.0,,127.0,,132.0,65.0,,54.0,,,22.0,140.0,193.0,78.0,,14.0,50.0,170.0
205.0,,,,198.0,,127.0,,130.0,60.0,,55.0,,,,,,77.0,,,40.0,
206.0,132.0,,,202.0,94.0,127.0,,132.0,65.0,,55.0,,,,50.0,,78.0,,14.0,50.0,162.0
207.0,,,,,,127.0,,132.0,63.0,,55.0,,,,,,77.0,,14.0,50.0,157.0
208.0,176.0,,,171.0,,127.0,,,66.0,,55.0,,,,50.0,184.0,78.0,,14.0,50.0,167.0
209.0,,,,,,127.0,,,,,55.0,,,,,,78.0,81.0,,50.0,
210.0,,,,,,127.0,,,65.0,,55.0,,,,,,77.0,,,38.0,
211.0,,,,201.0,100.0,127.0,8.0,,65.0,,55.0,,,,50.0,,78.0,83.0,15.0,50.0,170.0
212.0,137.0,,,170.0,92.0,127.0,,,63.0,,55.0,,,,155.0,186.0,78.0,,14.0,,172.0
213.0,176.0,,,202.0,,127.0,,132.0,69.0,,55.0,,,20.0,,189.0,77.0,,14.0,50.0,170.0
214.0,175.0,,,166.0,,127.0,,136.0,,,55.0,,,,,,78.0,81.0,,39.0,165.0
215.0,,,,,,127.0,,,,,54.0,,,,150.0,,78.0,,14.0,,157.0
216.0,,,119.0,,,127.0,,,,,,,,,,,78.0,,,,
217.0,,,,,,125.0,,,,,,,,,,,77.0,,,,
218.0,,,,,,127.0,,,,,53.0,56.0,4.0,,,,78.0,,,50.0,
219.0,,,,199.0,,127.0,,,66.0,,55.0,,3.0,,,,78.0,,,35.0,162.0
220.0,,,,170.0,101.0,127.0,,,59.0,,55.0,,3.0,,,,78.0,,14.0,,
221.0,,,,,,127.0,,,65.0,,55.0,,7.0,,,,78.0,,14.0,50.0,
222.0,,,,200.0,100.0,126.0,,137.0,65.0,,55.0,,7.0,,,185.0,77.0,,,50.0,168.0
223.0,,,,,,127.0,,132.0,,,53.0,,,,,,77.0,,14.0,30.0,
224.0,137.0,,,168.0,,127.0,,137.0,64.0,,55.0,,5.0,,150.0,190.0,78.0,,14.0,50.0,166.0
225.0,,,,,,127.0,,,,,55.0,,,,,,78.0,80.0,,45.0,
226.0,173.0,,114.0,162.0,,127.0,,135.0,72.0,,55.0,,2.0,,,,78.0,81.0,,42.0,
227.0,173.0,,104.0,201.0,,127.0,,88.0,69.0,,55.0,,7.0,,,,77.0,88.0,,45.0,
228.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
229.0,,,,202.0,92.0,127.0,,137.0,65.0,,55.0,,,,,193.0,77.0,,,50.0,169.0
230.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
231.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
232.0,137.0,,,168.0,,127.0,,,69.0,,55.0,,,,155.0,190.0,78.0,,14.0,50.0,170.0
233.0,,,,,,127.0,,130.0,68.0,,55.0,,5.0,,,,77.0,,,38.0,
234.0,,,,,,127.0,,,63.0,,55.0,,,,,,77.0,83.0,,50.0,
235.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
236.0,137.0,,,204.0,,127.0,,137.0,59.0,,53.0,,7.0,,150.0,188.0,77.0,,14.0,50.0,172.0
237.0,132.0,,,171.0,101.0,127.0,,132.0,65.0,,55.0,,7.0,,50.0,,,,,50.0,163.0
238.0,,,117.0,,,127.0,,137.0,,,,,,,,,78.0,,,,
239.0,,,,,,127.0,9.0,132.0,,,55.0,,,,144.0,,77.0,87.0,,50.0,
240.0,,,,,,127.0,,,69.0,,54.0,,,,,,77.0,,,50.0,
241.0,,,,,,127.0,,134.0,,,,,,,,,78.0,,,,
242.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
243.0,,,119.0,,,127.0,,,,,,,,,,,77.0,,,,
244.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
245.0,,,,,,127.0,,129.0,63.0,,54.0,,,,,,77.0,,,32.0,
246.0,,,123.0,,,127.0,,,,,,,,,,,77.0,,,,
247.0,,,,170.0,92.0,127.0,,,72.0,,55.0,,4.0,,,193.0,78.0,85.0,,50.0,170.0
248.0,177.0,,,169.0,,127.0,,,69.0,,55.0,,,,150.0,,78.0,,14.0,50.0,166.0
249.0,,,,,,127.0,,,,,55.0,,,,,,78.0,,19.0,50.0,
250.0,,,,,92.0,127.0,,132.0,63.0,,55.0,,7.0,,,,77.0,,14.0,50.0,
251.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
252.0,132.0,,,171.0,100.0,127.0,12.0,132.0,65.0,205.0,55.0,,,,50.0,,77.0,,16.0,50.0,171.0
253.0,,,,,,127.0,,,,,53.0,,,,,,77.0,,,,
254.0,178.0,,124.0,168.0,,127.0,,137.0,71.0,,54.0,,,,150.0,183.0,78.0,,14.0,50.0,170.0
255.0,,,,,,127.0,,,,,55.0,,,,,,78.0,,,35.0,
256.0,,,,,101.0,127.0,,,68.0,,55.0,,,,,,77.0,,,38.0,
257.0,138.0,,,168.0,,127.0,,137.0,63.0,,55.0,,7.0,,,192.0,77.0,,14.0,50.0,
258.0,132.0,,,168.0,92.0,127.0,10.0,,63.0,,55.0,,,,152.0,184.0,78.0,,14.0,50.0,168.0
259.0,,,,,,126.0,,,,,,,,,,,78.0,,,,
260.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
261.0,,,,168.0,100.0,127.0,,137.0,65.0,,55.0,,,,,,78.0,83.0,,50.0,170.0
262.0,,,,,,126.0,,,,,,,,,,,78.0,,,,
263.0,,,122.0,157.0,101.0,127.0,,,62.0,,55.0,,,,,,78.0,88.0,,45.0,
264.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
265.0,137.0,75.0,,170.0,101.0,127.0,,137.0,65.0,,55.0,,7.0,,50.0,,78.0,,,50.0,
266.0,,,,168.0,90.0,,,137.0,66.0,,54.0,,3.0,22.0,,193.0,78.0,,14.0,50.0,
267.0,,,,,,127.0,,,68.0,,55.0,,,,,,78.0,,,,
268.0,,,,,,127.0,,,,,53.0,,,,,,78.0,,,50.0,
269.0,177.0,,,202.0,,127.0,,128.0,72.0,,55.0,,,23.0,52.0,181.0,77.0,,14.0,52.0,171.0
270.0,,,113.0,,,127.0,,,,,,,,,,,77.0,,,,
271.0,137.0,,,202.0,100.0,127.0,,137.0,59.0,,55.0,,,,155.0,,78.0,,14.0,50.0,170.0
272.0,,,,157.0,,127.0,,,,,55.0,,,,,,,,14.0,52.0,157.0
273.0,,,,,,127.0,,,62.0,,55.0,,4.0,,,,77.0,,,36.0,
274.0,137.0,,,200.0,92.0,127.0,,137.0,65.0,,55.0,,7.0,,,,78.0,,14.0,50.0,166.0
275.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
276.0,,,,168.0,101.0,127.0,,,65.0,,55.0,,6.0,,155.0,192.0,78.0,,14.0,50.0,170.0
277.0,,,,,,127.0,,137.0,,,,,,,,,78.0,,,,
278.0,,73.0,104.0,157.0,,127.0,,88.0,,,55.0,,,,,,77.0,80.0,,45.0,157.0
279.0,,,,,,127.0,,,,,55.0,,,,,,77.0,81.0,,,
280.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
281.0,132.0,,,164.0,92.0,127.0,,,58.0,,55.0,,6.0,,50.0,182.0,78.0,,,,165.0
282.0,,,,,,126.0,,,,,53.0,,,,,,78.0,,,,
283.0,,,,169.0,100.0,127.0,,,66.0,,55.0,,,21.0,50.0,,78.0,,14.0,33.0,
284.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
285.0,137.0,,,203.0,92.0,127.0,,137.0,65.0,,55.0,,,,156.0,185.0,78.0,84.0,14.0,50.0,170.0
286.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
287.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
288.0,,,,,,127.0,,136.0,65.0,,55.0,,,,,,78.0,,14.0,50.0,
289.0,,,,,,127.0,,,72.0,,55.0,,,,,,78.0,,,39.0,157.0
290.0,,,,,,127.0,,132.0,,,55.0,,,,,,78.0,,14.0,50.0,
291.0,179.0,,,199.0,,127.0,,129.0,69.0,,55.0,,6.0,,150.0,184.0,78.0,,14.0,50.0,166.0
292.0,,,,,,127.0,,,,,,,,,,,77.0,,,,
293.0,,,,170.0,,127.0,,,,,55.0,,6.0,,,,78.0,,,,
294.0,,,,,,127.0,,,,,,,,,,,78.0,,,,
295.0,137.0,76.0,,,,127.0,10.0,132.0,63.0,,55.0,,7.0,,155.0,186.0,78.0,,14.0,50.0,
296.0,,,122.0,,,127.0,,,60.0,,55.0,,,,,,77.0,88.0,,45.0,157.0
297.0,132.0,,,201.0,,127.0,,,65.0,,55.0,,,,147.0,188.0,78.0,,,50.0,172.0
