user_id,last_name,locale,education_type,gender,hometown_id,education_concentration_id,location_id,first_name,work_employer_id,middle_name,education_classes_id,education_with_id,work_end_date,work_start_date,education_school_id,birthday,work_projects_id,work_position_id,work_location_id,education_year_id,education_degree_id,languages_id
1972.0,327.0,127.0,,78.0,,,,,,,,,,,,,,,,,,
1973.0,327.0,127.0,55.0,78.0,,,,,,,,,,,533.0,,,989.0,,65.0,,
1974.0,,127.0,55.0,77.0,908.0,392.0,,,949.0,,,,680.0,168.0,838.0,,,699.0,,71.0,,
1975.0,,127.0,55.0,78.0,618.0,,176.0,,,,,,166.0,199.0,799.0,,,,,69.0,,
1976.0,,127.0,55.0,77.0,,,,,,,,,,,533.0,,,,,65.0,,
1977.0,,127.0,55.0,78.0,908.0,,933.0,,,,11.0,,157.0,157.0,,,,,908.0,68.0,,
1978.0,,127.0,55.0,78.0,,,,,,,,,,,442.0,,,,,69.0,,
1979.0,,932.0,55.0,78.0,,,,,,,,,,,803.0,5.0,,,,255.0,,
1980.0,602.0,127.0,,78.0,86.0,,941.0,,,,,,,,,,,,,,,
1981.0,,127.0,55.0,77.0,908.0,,908.0,,,,,,,,52.0,5.0,,,,69.0,,92.0
1982.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
1983.0,,127.0,55.0,78.0,,400.0,907.0,,975.0,,,,,,834.0,5.0,,,,66.0,,
1984.0,,,55.0,78.0,,,,,,,,,,,834.0,,,,,,,92.0
1985.0,,,55.0,77.0,908.0,216.0,,,,,,,170.0,681.0,834.0,5.0,,193.0,,72.0,776.0,915.0
1986.0,,127.0,55.0,78.0,,,,,951.0,,746.0,,168.0,168.0,834.0,5.0,,,,61.0,774.0,
1987.0,,127.0,55.0,77.0,905.0,,908.0,,951.0,,,,,164.0,835.0,,,981.0,908.0,69.0,,
1988.0,,127.0,55.0,77.0,908.0,,,,,,,,,,815.0,6.0,,,,64.0,,101.0
1989.0,,127.0,55.0,78.0,,14.0,,,,,,,157.0,164.0,834.0,5.0,,995.0,908.0,66.0,,
1990.0,,127.0,53.0,77.0,,,,,,,,,,,,,,,,72.0,,
1991.0,,127.0,55.0,78.0,,,,,,,,,,,787.0,7.0,,,,65.0,,
1992.0,,932.0,55.0,78.0,,,,,,,,,157.0,157.0,803.0,,,,,66.0,,
1993.0,,126.0,55.0,77.0,,,908.0,,,,,,,157.0,834.0,,,,,66.0,,
1994.0,,127.0,55.0,78.0,,216.0,,,964.0,,,,202.0,169.0,861.0,,,994.0,,72.0,,101.0
1995.0,,127.0,55.0,78.0,,,,,,,,,,,787.0,731.0,,,,60.0,,
1996.0,,127.0,54.0,77.0,,14.0,940.0,,,,,,,,442.0,,,,,66.0,,
1997.0,,126.0,55.0,77.0,908.0,,908.0,,,,,,,,881.0,5.0,,,908.0,67.0,,94.0
1998.0,,127.0,55.0,78.0,134.0,,,,,,,,157.0,157.0,787.0,,,,,66.0,,
1999.0,,127.0,55.0,78.0,,,,,,,,,723.0,726.0,787.0,734.0,,185.0,,69.0,,92.0
2000.0,,127.0,55.0,78.0,,,134.0,,,,,,,,787.0,6.0,,,,,,
2001.0,,127.0,,78.0,,,610.0,,,,,,,,,,,,,,,
2002.0,,127.0,,78.0,,,,,,,,,,,,,,,,,,
2003.0,,127.0,55.0,77.0,902.0,768.0,128.0,,969.0,,,,170.0,169.0,52.0,,,193.0,908.0,64.0,224.0,
2004.0,,127.0,,77.0,,,,896.0,,,,,,,,,,,,,,
2005.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2006.0,,127.0,55.0,78.0,,,934.0,,,,,,,,787.0,,,,,64.0,,913.0
2007.0,,127.0,,78.0,,,,,,,,,,,,,,,,,,
2008.0,,127.0,53.0,,,,176.0,,,,,,,,442.0,,,,,66.0,,
2009.0,,127.0,55.0,77.0,,,,,,,,,,,882.0,739.0,,,,66.0,,
2010.0,,127.0,55.0,77.0,908.0,338.0,,,,,,,,,819.0,4.0,,,,72.0,,
2011.0,,127.0,55.0,77.0,,,,,,,,,,,787.0,7.0,,,,65.0,,
2012.0,,127.0,55.0,78.0,,,,,,,,,,,787.0,7.0,,,,65.0,,
2013.0,,127.0,55.0,77.0,,,,,,,,,,,,,,,,68.0,,
2014.0,,127.0,55.0,77.0,,,,897.0,,,,,,,787.0,730.0,,,,,,
2015.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2016.0,,127.0,,78.0,,,,,,,,,,,,,,,,,,
2017.0,,127.0,55.0,77.0,,14.0,176.0,,,,,,,202.0,442.0,,,,,71.0,20.0,92.0
2018.0,,,,78.0,,,,,,,,,,,,734.0,,,,,,
2019.0,,932.0,55.0,77.0,908.0,,908.0,,,,,884.0,,,811.0,6.0,,,,66.0,,
2020.0,,126.0,55.0,77.0,908.0,,908.0,,,,,,,,834.0,5.0,,,,72.0,,
2021.0,,126.0,55.0,77.0,908.0,,908.0,,,,,,157.0,680.0,789.0,5.0,,691.0,908.0,66.0,,92.0
2022.0,,127.0,,77.0,,,,892.0,,,,,,,,,,,,,,
2023.0,,127.0,,78.0,,,,,,,,,,,,,,,,,,
2024.0,,127.0,55.0,77.0,,392.0,281.0,,,,,,170.0,168.0,315.0,7.0,,193.0,134.0,65.0,,572.0
2025.0,,127.0,55.0,78.0,,,,,,,,,,,50.0,6.0,,,,64.0,,
2026.0,,127.0,55.0,78.0,908.0,392.0,134.0,,956.0,,,,199.0,161.0,869.0,,,996.0,908.0,66.0,,
2027.0,110.0,127.0,55.0,78.0,84.0,,935.0,900.0,,,,,,199.0,322.0,6.0,,,84.0,63.0,,265.0
2028.0,,127.0,53.0,78.0,908.0,14.0,908.0,,,,,,168.0,202.0,537.0,,,185.0,619.0,69.0,,92.0
2029.0,,127.0,55.0,78.0,908.0,16.0,908.0,,663.0,,,,,200.0,444.0,,,699.0,908.0,258.0,223.0,
2030.0,,932.0,55.0,77.0,,,908.0,,,,,,,,811.0,,,,,66.0,,
2031.0,,127.0,54.0,78.0,,416.0,940.0,,,,,,,,442.0,,,,,60.0,,
2032.0,,127.0,,78.0,,,,,,,,,,,,,,,,,,
2033.0,,127.0,,77.0,,,908.0,,,,,,,,,,,,,,,
2034.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2035.0,,127.0,55.0,77.0,82.0,13.0,176.0,,966.0,,,,,,442.0,,,,176.0,72.0,,
2036.0,,127.0,55.0,78.0,908.0,,176.0,,,,,,,,782.0,,,,,72.0,,
2037.0,,932.0,55.0,78.0,,,,,,,,,,681.0,794.0,5.0,,,,,,
2038.0,,127.0,55.0,78.0,,,176.0,,,,,,,,874.0,,,,,65.0,,
2039.0,,127.0,55.0,77.0,,,281.0,,,,,,,,868.0,,,,,72.0,,
2040.0,,127.0,55.0,78.0,908.0,,,,,,,,160.0,164.0,870.0,5.0,,990.0,908.0,61.0,,92.0
58.0,,127.0,55.0,78.0,,14.0,,,,,,,,,52.0,,,,,72.0,22.0,
2041.0,,,54.0,78.0,,,,,,,,,,,442.0,4.0,,,,,,
2042.0,,127.0,55.0,78.0,908.0,14.0,,,,,,,,,50.0,4.0,,,,72.0,22.0,
2043.0,,127.0,55.0,77.0,908.0,,908.0,,,,,,,,852.0,,,,,61.0,,
2044.0,,126.0,55.0,77.0,908.0,,908.0,,975.0,,,,,,786.0,377.0,,,,65.0,,265.0
2045.0,,932.0,55.0,78.0,,,,,,,,,157.0,157.0,834.0,,,,,889.0,,
2046.0,,932.0,55.0,77.0,908.0,,908.0,,,,,,,,834.0,5.0,,,,69.0,,
2047.0,,127.0,55.0,78.0,,213.0,281.0,,,,757.0,,,,246.0,5.0,,,,72.0,,92.0
2048.0,,127.0,55.0,77.0,908.0,,176.0,,,,,,199.0,723.0,442.0,5.0,,,,72.0,,
2049.0,,127.0,55.0,78.0,,,176.0,,,,,,,,442.0,6.0,,,,69.0,,
2050.0,,127.0,55.0,78.0,,,,,,,,,166.0,169.0,,,,,,68.0,,
2051.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2052.0,,127.0,55.0,78.0,908.0,766.0,281.0,,,,,,157.0,157.0,882.0,,,,,66.0,22.0,
2053.0,,127.0,55.0,78.0,908.0,,128.0,,52.0,,11.0,,,170.0,52.0,4.0,,987.0,128.0,61.0,,
2054.0,,127.0,55.0,78.0,909.0,763.0,128.0,,,,,,170.0,202.0,52.0,210.0,,984.0,176.0,60.0,,
2055.0,,127.0,55.0,78.0,902.0,,902.0,,,,,,,,834.0,5.0,,700.0,908.0,,,914.0
2056.0,,127.0,55.0,77.0,,,908.0,,,,,,,,444.0,,,,,,,
2057.0,,127.0,55.0,78.0,908.0,214.0,908.0,,,,,,170.0,164.0,835.0,5.0,,,908.0,66.0,,92.0
2058.0,,932.0,55.0,78.0,,,,,,,,,,,866.0,5.0,,,,66.0,,
2059.0,,127.0,55.0,78.0,904.0,,908.0,,,,,,,,820.0,4.0,,,,65.0,,92.0
2060.0,,127.0,55.0,78.0,,,,,960.0,,,,,,834.0,,,,,66.0,,
2061.0,,127.0,55.0,78.0,,,940.0,,,,,,,,787.0,,,,,64.0,,
2062.0,,127.0,55.0,78.0,,16.0,128.0,,,,,,168.0,164.0,52.0,737.0,,182.0,,71.0,21.0,92.0
2063.0,,127.0,55.0,77.0,908.0,,908.0,,,,,,,,834.0,4.0,,,,888.0,,
2064.0,,126.0,55.0,78.0,908.0,338.0,908.0,,,,,,,201.0,803.0,4.0,,,,62.0,,92.0
2065.0,,127.0,55.0,77.0,,,908.0,,,,,,,165.0,851.0,,,,,61.0,,
2066.0,,127.0,,78.0,,,940.0,,,,,,157.0,196.0,,1.0,,,,,,
2067.0,,127.0,55.0,77.0,,394.0,908.0,,,,759.0,,,,870.0,6.0,,,,72.0,,101.0
2068.0,,127.0,55.0,77.0,908.0,392.0,937.0,,,,,,,,871.0,,,,,69.0,,101.0
2069.0,,127.0,55.0,78.0,908.0,,,,,,,,726.0,169.0,852.0,5.0,,,,66.0,,
2070.0,,,55.0,78.0,,,,,,,,,,,442.0,6.0,,,,69.0,,
2071.0,,127.0,55.0,78.0,,402.0,,,,,,,,,792.0,,,,,72.0,,94.0
2072.0,,127.0,55.0,78.0,908.0,423.0,128.0,,958.0,,,,171.0,681.0,879.0,,,998.0,908.0,65.0,,92.0
2073.0,,127.0,55.0,77.0,,,,,,,,,,,821.0,5.0,,,,,,
2074.0,,127.0,55.0,77.0,908.0,,,,,,,,,,793.0,5.0,,,,69.0,435.0,
2075.0,,127.0,55.0,77.0,908.0,402.0,128.0,,,,,,,,52.0,,,,,66.0,20.0,
2076.0,,127.0,55.0,78.0,910.0,760.0,,,,,,,157.0,1002.0,822.0,,,,908.0,890.0,22.0,572.0
2077.0,,127.0,55.0,78.0,,,,,,,,,,,834.0,,,,,,,
2078.0,,932.0,55.0,78.0,,,,,,,,,,,862.0,5.0,,,,64.0,,
2079.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2080.0,,127.0,,78.0,,,,,,,,,,,,,,,,,,
2081.0,,127.0,55.0,77.0,,,617.0,,946.0,,,,157.0,157.0,52.0,,,,,72.0,,92.0
2082.0,,127.0,54.0,77.0,,216.0,281.0,,,,,,,,315.0,5.0,,,,72.0,22.0,
2083.0,,932.0,55.0,78.0,908.0,,908.0,,,,,,171.0,681.0,789.0,,,,908.0,64.0,,
2084.0,918.0,127.0,55.0,78.0,908.0,,908.0,,948.0,,,,,,803.0,5.0,,,,61.0,,
2085.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2086.0,,127.0,55.0,,908.0,,,,,,,,,,834.0,5.0,,,,61.0,,
2087.0,,127.0,,77.0,,,,,,,,,,,,5.0,,,,,,914.0
2088.0,,127.0,55.0,77.0,908.0,,908.0,,,,,,,,811.0,5.0,,,,61.0,,
2089.0,,127.0,55.0,77.0,82.0,,176.0,,,,,,,,442.0,,,,,69.0,,
2090.0,,932.0,55.0,78.0,908.0,,908.0,,,,753.0,,,,852.0,5.0,,,,,,
2091.0,,127.0,55.0,77.0,,392.0,,,,,,,,,442.0,,,,,72.0,,
2092.0,,932.0,55.0,,908.0,,908.0,,967.0,,754.0,,,,852.0,,,,,64.0,,
2093.0,,126.0,55.0,78.0,908.0,,,,,,,,166.0,199.0,834.0,5.0,,,908.0,72.0,,92.0
2094.0,,127.0,55.0,77.0,,,176.0,,,,,,,,246.0,,,,,69.0,,
2095.0,,126.0,55.0,77.0,,,,,,,,,,,863.0,5.0,,,,,,
2096.0,,127.0,55.0,78.0,908.0,14.0,129.0,,,,,,,,52.0,,,,,72.0,22.0,
2097.0,,127.0,,77.0,,,283.0,,,,,,,,,,,,,,,
2098.0,,127.0,55.0,77.0,908.0,,908.0,,,,,,,,834.0,5.0,,,,,,
2099.0,,127.0,,78.0,,,,,,,,,,,,,,,,,,
2100.0,922.0,127.0,55.0,77.0,558.0,,558.0,,,,,,,,,,,,,66.0,,
2101.0,,932.0,55.0,78.0,908.0,,,,,,749.0,,170.0,202.0,52.0,377.0,,193.0,,68.0,,92.0
2102.0,,127.0,55.0,78.0,,14.0,939.0,,974.0,,,,170.0,169.0,849.0,,,192.0,979.0,66.0,,
2103.0,925.0,127.0,55.0,77.0,908.0,,,,,,,,,,789.0,5.0,,996.0,,,,
2104.0,,127.0,53.0,78.0,,,,,,,,,,,,5.0,,,,,,
2105.0,,127.0,,78.0,,,,,,,,,,,,6.0,,,,,,
2106.0,,127.0,53.0,78.0,,,,,,,,,157.0,,52.0,,,,,,,
2107.0,,127.0,55.0,77.0,,386.0,,,,,,,166.0,202.0,442.0,,,193.0,176.0,72.0,,913.0
2108.0,,127.0,55.0,78.0,902.0,,908.0,,,,,,,,820.0,5.0,,,,,,
2109.0,,127.0,55.0,78.0,907.0,,,,,,,,,,834.0,5.0,,,,61.0,,
2110.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2111.0,,127.0,55.0,77.0,,771.0,128.0,,,,11.0,,,,52.0,5.0,,,,72.0,22.0,
2112.0,,932.0,55.0,78.0,902.0,,908.0,,,,,,,,834.0,4.0,,,,66.0,,
2113.0,930.0,127.0,55.0,77.0,,,,,,,,,,,,,,,,66.0,,
2114.0,,127.0,55.0,78.0,,14.0,940.0,,,,,,,,844.0,,,,,66.0,,
2115.0,,932.0,55.0,78.0,,,,,,,,,,198.0,834.0,5.0,,,,66.0,,
2116.0,926.0,127.0,55.0,78.0,908.0,,280.0,,663.0,,,,,,236.0,6.0,,,,65.0,,
2117.0,,127.0,55.0,77.0,,,,,956.0,,,,,,802.0,,,185.0,908.0,69.0,,914.0
2118.0,,127.0,55.0,78.0,,,,,,,,,,,803.0,5.0,,,,61.0,,
2119.0,,127.0,55.0,77.0,618.0,,,,442.0,,,,168.0,170.0,523.0,5.0,,,176.0,72.0,,90.0
2120.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2121.0,,127.0,55.0,77.0,,,,,,,,,,,803.0,5.0,,,,,,
2122.0,,127.0,55.0,78.0,,,,,,,,,,,834.0,4.0,,,,,,
2123.0,,127.0,55.0,78.0,,,,,,,,,,164.0,834.0,5.0,,,,61.0,,
2124.0,,127.0,55.0,,,,,,,,751.0,,,,794.0,5.0,,,,,,
2125.0,,127.0,55.0,78.0,908.0,770.0,283.0,,140.0,,744.0,,170.0,202.0,537.0,4.0,,189.0,133.0,66.0,,915.0
2126.0,,127.0,55.0,77.0,,416.0,,891.0,972.0,,,,198.0,198.0,442.0,,,989.0,176.0,72.0,,
2127.0,,127.0,55.0,77.0,908.0,,610.0,,956.0,,,,171.0,168.0,533.0,741.0,,193.0,134.0,65.0,,92.0
2128.0,,127.0,55.0,78.0,908.0,214.0,612.0,,663.0,,,,166.0,202.0,538.0,,,192.0,908.0,72.0,,915.0
2129.0,,127.0,55.0,77.0,82.0,767.0,612.0,,,,,,723.0,199.0,442.0,,,,176.0,72.0,,
2130.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2131.0,,126.0,55.0,78.0,908.0,,908.0,,,,742.0,,,,834.0,5.0,,,,66.0,,92.0
2132.0,,127.0,,78.0,,,,,,,,,,,,,,,,,,
2133.0,,127.0,55.0,77.0,908.0,15.0,283.0,,,,743.0,,,,869.0,,,,,66.0,,
2134.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2135.0,,127.0,55.0,78.0,908.0,,,,,,,,169.0,168.0,874.0,5.0,,997.0,,69.0,,914.0
2136.0,,127.0,55.0,78.0,,,,,,,,,,,863.0,5.0,,,,,,
2137.0,,127.0,55.0,77.0,908.0,,908.0,,,,,,,,862.0,,,,,,,
2138.0,,127.0,55.0,78.0,908.0,766.0,174.0,,,,747.0,,,,873.0,,,,,72.0,,92.0
2139.0,,127.0,55.0,,908.0,,908.0,,,,,,,,881.0,,,,,66.0,,
2140.0,,127.0,55.0,77.0,908.0,,908.0,,,,,,202.0,201.0,834.0,5.0,,,908.0,,,
2141.0,,127.0,55.0,77.0,908.0,,908.0,,,,,,157.0,157.0,442.0,2.0,,,,66.0,,
2142.0,,127.0,55.0,77.0,908.0,14.0,284.0,,,,,,168.0,200.0,852.0,5.0,,987.0,,66.0,22.0,
2143.0,,127.0,55.0,78.0,908.0,216.0,,,,,,,,,50.0,,,,,61.0,,
2144.0,,127.0,,77.0,,,281.0,,,,,,,,,,,,,,,
2145.0,,127.0,55.0,77.0,908.0,,940.0,,,,,,170.0,202.0,859.0,6.0,,,176.0,65.0,,
2146.0,,127.0,55.0,78.0,,,176.0,,,,,,166.0,164.0,442.0,,,989.0,176.0,72.0,,92.0
2147.0,,127.0,55.0,78.0,,,908.0,,965.0,,,,,,863.0,,,986.0,,,,
2148.0,,127.0,55.0,78.0,,,,,,,,,,,861.0,,,,,69.0,,
2149.0,,127.0,55.0,77.0,907.0,,938.0,,,,,,,,538.0,,,,,66.0,20.0,
2150.0,,127.0,55.0,78.0,,,,,,,,,,,811.0,5.0,,,,61.0,,
2151.0,,127.0,55.0,78.0,,760.0,611.0,,,,,,,,322.0,,,,,66.0,,
2152.0,,127.0,,78.0,,,,,,,,,,,,,,,,,,
2153.0,,127.0,55.0,77.0,,392.0,281.0,,955.0,,,,,,813.0,,999.0,,,69.0,,
2154.0,,127.0,55.0,77.0,,,908.0,,,,,,,,811.0,5.0,,,,,,
2155.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2156.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2157.0,,127.0,55.0,77.0,,,,,,,,,170.0,202.0,787.0,7.0,,193.0,84.0,63.0,,265.0
2158.0,,127.0,55.0,77.0,,,,,,,,,,,799.0,,,,,72.0,,
2159.0,,127.0,55.0,78.0,,15.0,,,,,,,,,50.0,5.0,,,,69.0,,
2160.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2161.0,,127.0,55.0,78.0,,,908.0,,962.0,,750.0,,,,52.0,6.0,,,,65.0,,92.0
2162.0,,127.0,55.0,78.0,,,,,,,,,,,442.0,6.0,,,,69.0,,
2163.0,,127.0,55.0,78.0,908.0,772.0,908.0,,962.0,,,,158.0,161.0,537.0,,,,908.0,62.0,,
2164.0,,932.0,55.0,78.0,,,,,,,,,,,852.0,5.0,,,,58.0,,
2165.0,,126.0,55.0,77.0,908.0,,,,,,,,,,811.0,5.0,,,,66.0,774.0,
2166.0,110.0,127.0,,78.0,,,,,,,,,,,,,,,,,,
2167.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2168.0,,127.0,,78.0,,,,,,,,,,,,,,,,,,
2169.0,,127.0,55.0,78.0,,400.0,,,,,,,,,848.0,,,,,61.0,,
2170.0,,126.0,55.0,78.0,908.0,,908.0,,,,,,,,789.0,,,,,,,94.0
2171.0,,127.0,55.0,78.0,86.0,,134.0,,,,,,,,787.0,,,,,63.0,,94.0
2172.0,,932.0,55.0,77.0,,,,,,,,,,,803.0,5.0,,,,61.0,,
2173.0,,127.0,,78.0,,,,,,,,,,,,,,,,,,
2174.0,,127.0,55.0,78.0,,398.0,176.0,899.0,,,,,,,845.0,,,,,544.0,,
2175.0,,127.0,54.0,77.0,,,,,,,,,,,523.0,210.0,,,,,,
2176.0,,126.0,55.0,77.0,908.0,,281.0,,,,,,,,867.0,731.0,,,,66.0,,
2177.0,602.0,127.0,,78.0,,,,,,,,,,,,,,,,,,
2178.0,,127.0,55.0,78.0,,,,,,,,,166.0,332.0,442.0,,,,,66.0,,
2179.0,,126.0,55.0,77.0,908.0,,,,,,,,,,807.0,5.0,,,,,,
2180.0,,127.0,53.0,77.0,,,908.0,,,,,,,,,,,,,65.0,,
2181.0,,127.0,55.0,77.0,,,,,,,11.0,,,,442.0,,,,,69.0,,
2182.0,,127.0,55.0,77.0,908.0,338.0,908.0,,,,,,157.0,,822.0,2.0,,,,66.0,,92.0
2183.0,929.0,127.0,55.0,78.0,908.0,,281.0,,151.0,,,883.0,166.0,164.0,246.0,,,,281.0,69.0,,
2184.0,925.0,127.0,55.0,77.0,,,908.0,,,,,,157.0,157.0,834.0,5.0,,,,66.0,,
2185.0,,127.0,55.0,77.0,,13.0,,,,,,,,,538.0,,,,,259.0,,
2186.0,,127.0,55.0,77.0,,392.0,,,,,,,169.0,196.0,442.0,7.0,,,,65.0,,572.0
2187.0,,127.0,55.0,78.0,,402.0,939.0,,,,,,,,861.0,736.0,,,,69.0,,101.0
2188.0,,127.0,55.0,78.0,908.0,,908.0,,,,,,,,834.0,5.0,,,,,,915.0
2189.0,,127.0,55.0,77.0,908.0,14.0,,,,,,,,,469.0,,,992.0,,65.0,,101.0
2190.0,,932.0,55.0,77.0,,,,,,,,,,,834.0,5.0,,,,,,
2191.0,,127.0,55.0,78.0,905.0,772.0,619.0,,,,,,,,537.0,4.0,,,,72.0,,
2192.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
2193.0,,127.0,,77.0,,,,,,,,,,,,,,,,,,
